date,amount,category
2024-01-01,15000,Revenue
2024-02-01,14000,Revenue
2024-03-01,12000,Expense
2024-04-01,13500,Expense
2024-05-01,16000,Revenue
2024-01-01,15000,Revenue
2024-02-01,14000,Revenue
2024-03-01,12000,Expense
2024-04-01,13500,Expense
2024-05-01,16000,Revenue
2024-01-01,15000,Revenue
2024-02-01,14000,Revenue
2024-03-01,12000,Expense
2024-04-01,13500,Expense
2024-05-01,16000,Revenue
2024-01-01,15000,Revenue
2024-02-01,14000,Revenue
2024-03-01,12000,Expense
2024-04-01,13500,Expense
2024-05-01,16000,Revenue
2024-01-01,15000,Revenue
2024-02-01,14000,Revenue
2024-03-01,12000,Expense
2024-04-01,13500,Expense
2024-05-01,16000,Revenue
2024-01-01,15000,Revenue
2024-02-01,14000,Revenue
2024-03-01,12000,Expense
2024-04-01,13500,Expense
2024-05-01,16000,Revenue
2024-01-01,15000,Revenue
2024-02-01,14000,Revenue
2024-03-01,12000,Expense
2024-04-01,13500,Expense
2024-05-01,16000,Revenue
