id_transacao,id_cliente,data_transacao,valor_transacao,categoria_transacao,metodo_pagamento,valor_com_taxa,transacao_valida
1,103,2023-01-01 00:00:00,178.06,Transporte,Transferência Bancária,186.96300000000002,True
2,436,2023-01-01 01:00:00,104.68,Transporte,Cartão de Débito,109.91400000000002,True
3,861,2023-01-01 02:00:00,424.94,Entretenimento,Dinheiro,446.187,True
4,271,2023-01-01 03:00:00,122.17,Saúde,Transferência Bancária,128.2785,True
5,107,2023-01-01 04:00:00,180.19,Educação,Dinheiro,189.1995,True
6,72,2023-01-01 05:00:00,551.85,Entretenimento,Transferência Bancária,579.4425,True
7,701,2023-01-01 06:00:00,172.95,Alimentação,Cartão de Crédito,181.5975,True
8,21,2023-01-01 07:00:00,73.24,Educação,Cartão de Crédito,76.902,True
9,615,2023-01-01 08:00:00,324.21,Entretenimento,Transferência Bancária,340.4205,True
10,122,2023-01-01 09:00:00,228.12,Entretenimento,Dinheiro,239.526,True
11,467,2023-01-01 10:00:00,520.15,Saúde,Transferência Bancária,546.1575,True
12,215,2023-01-01 11:00:00,111.34,Alimentação,Cartão de Crédito,116.90700000000001,True
13,331,2023-01-01 12:00:00,754.25,Alimentação,Transferência Bancária,791.9625,True
14,459,2023-01-01 13:00:00,907.17,Entretenimento,Cartão de Crédito,952.5285,True
15,88,2023-01-01 14:00:00,746.0,Saúde,Cartão de Crédito,783.3000000000001,True
16,373,2023-01-01 15:00:00,537.5,Entretenimento,Cartão de Débito,564.375,True
17,100,2023-01-01 16:00:00,862.06,Transporte,Dinheiro,905.163,True
18,872,2023-01-01 17:00:00,697.97,Transporte,Transferência Bancária,732.8685,True
19,664,2023-01-01 18:00:00,20.45,Saúde,Dinheiro,21.4725,False
20,131,2023-01-01 19:00:00,400.15,Entretenimento,Dinheiro,420.15749999999997,True
21,662,2023-01-01 20:00:00,852.44,Saúde,Cartão de Crédito,895.0620000000001,True
22,309,2023-01-01 21:00:00,352.4,Entretenimento,Cartão de Crédito,370.02,True
23,770,2023-01-01 22:00:00,44.86,Entretenimento,Transferência Bancária,47.103,False
24,344,2023-01-01 23:00:00,748.72,Transporte,Transferência Bancária,786.1560000000001,True
25,492,2023-01-02 00:00:00,804.02,Educação,Transferência Bancária,844.221,True
26,414,2023-01-02 01:00:00,168.99,Alimentação,Cartão de Crédito,177.4395,True
27,806,2023-01-02 02:00:00,541.97,Alimentação,Cartão de Débito,569.0685000000001,True
28,386,2023-01-02 03:00:00,200.04,Saúde,Transferência Bancária,210.042,True
29,192,2023-01-02 04:00:00,722.04,Alimentação,Cartão de Crédito,758.1419999999999,True
30,956,2023-01-02 05:00:00,278.83,Transporte,Cartão de Débito,292.7715,True
31,277,2023-01-02 06:00:00,323.05,Educação,Dinheiro,339.20250000000004,True
32,161,2023-01-02 07:00:00,846.52,Entretenimento,Cartão de Crédito,888.846,True
33,460,2023-01-02 08:00:00,481.56,Entretenimento,Transferência Bancária,505.63800000000003,True
34,314,2023-01-02 09:00:00,673.06,Transporte,Transferência Bancária,706.713,True
35,22,2023-01-02 10:00:00,408.35,Alimentação,Cartão de Débito,428.76750000000004,True
36,253,2023-01-02 11:00:00,305.03,Entretenimento,Cartão de Débito,320.2815,True
37,748,2023-01-02 12:00:00,629.22,Alimentação,Cartão de Crédito,660.681,True
38,857,2023-01-02 13:00:00,163.31,Transporte,Cartão de Débito,171.4755,True
